n,base_rate,auc_roc,pr_auc,brier,log_loss,accuracy_at_0.5,accuracy_predict_none,mean_pred,obs_over_pred,decile_lift,top_decile_rate,bottom_decile_rate,fold
32784,0.019247193753050267,0.6515592075783855,0.03650214783472293,0.018763104508804668,0.0924512971388794,0.9807528062469497,0.9807528062469497,0.018626251858658318,1.0333369214109123,4.903225806451613,0.04636973764490543,0.009456985967053081,1
32784,0.01903367496339678,0.6322217538110728,0.0337371150916036,0.018848888621442933,0.09301414866622526,0.9809663250366032,0.9809663250366032,0.019982208845745378,0.9525310795382583,5.115384615384616,0.04057352043929225,0.007931665649786455,2
32784,0.018789653489507077,0.6211909088486743,0.03046180713773207,0.01837018798253515,0.09155155383496341,0.9812103465104929,0.9812103465104929,0.0182008296996622,1.0323514806501268,5.2272727272727275,0.0350823672971324,0.006711409395973154,3
32783,0.018027636274898576,0.6247868121221907,0.03040220134713865,0.01763255405144073,0.08849045999563647,0.9819723637251014,0.9819723637251014,0.01810452791855042,0.9957529053506522,3.838709677419355,0.0363026235509457,0.009456985967053081,4
32783,0.017051520605191717,0.610891636451814,0.03283061334707384,0.016671591257620768,0.08457241701105712,0.9829484793948083,0.9829484793948082,0.017764693516588624,0.959854477042852,3.8965517241379306,0.034472239170225745,0.008846857840146431,5
