experience_band,age_band,exposure_matches,observed_events,modelled_freq,observed_freq,pure_premium,office_premium,ab_ratio,credibility
<100 matches,<22,2858,50,0.01618119238467852,0.01749475157452764,997.8401970551753,1147.5162266134514,1.0811781455050797,0.2149667901961739
<100 matches,22-25,5116,74,0.016903729474989172,0.014464425332290852,1042.3966509576655,1198.7561486013153,0.8556943219951831,0.26151838733275307
<100 matches,26-29,3086,37,0.016654044068995264,0.011989630589760207,1026.9993842547078,1181.049291892914,0.7199230733441634,0.18492142508795978
<100 matches,30-33,561,14,0.016761676185052757,0.024955436720142603,1033.6366980782534,1188.6822027899914,1.4888389707943792,0.11374973339937478
<100 matches,34+,75,1,0.016657263782855307,0.013333333333333334,1027.1979332760773,1181.2776232674887,0.8004515931996485,0.03040089501552408
100-300,<22,1164,21,0.01544417154520841,0.01804123711340206,952.3905786211851,1095.2491654143628,1.168158295871778,0.13931440260304478
100-300,22-25,4189,96,0.019391971110684733,0.022917164000954882,1195.8382184922252,1375.213951266059,1.181786207815038,0.2978667220478179
100-300,26-29,5135,105,0.018889048965072115,0.02044790652385589,1164.824686179447,1339.548389106364,1.0825270537265412,0.31151647446518177
100-300,30-33,1577,27,0.01763414138752581,0.017121116043119847,1087.438718897425,1250.5545267320385,0.9709072682853235,0.1579676842873654
100-300,34+,259,10,0.021824229185521644,0.03861003861003861,1345.8274664405012,1547.7015864065763,1.7691364163116834,0.09613607115671603
300+,<22,49,0,0.009178678205541666,0.0,566.0184893417361,650.9212627429964,0.0,0.0
300+,22-25,1336,14,0.013742025733221119,0.010479041916167664,847.4249202153023,974.5386582475976,0.7625543802348408,0.11374973339937478
300+,26-29,3483,65,0.015271876930989536,0.018662072925638817,941.7657440776879,1083.030605689341,1.2219894784360088,0.24509985139411977
300+,30-33,2099,52,0.02216325419161333,0.024773701762744165,1366.734008482822,1571.744109755245,1.1177826842828271,0.21922397159693935
300+,34+,1700,43,0.03565882219083435,0.025294117647058825,2198.960701768118,2528.8048070333352,0.7093368791513355,0.1993520001480583
