feature,coefficient,odds_ratio
level_team,-0.9185666246607569,0.39909067803750714
level_grand_slam,-0.7767277451072698,0.4599084895237573
level_tour,-0.6682884418044102,0.5125851467320006
level_masters,-0.506252602956384,0.6027500958158435
prior_events_career,0.298496715020321,1.3478311095917086
career_matches,-0.2189456703058658,0.8033653635624752
log_rank_points,-0.16871254626359086,0.8447516955198247
round_ord,0.16358739968820735,1.1777282837741883
matches_365d,-0.15062635946708403,0.8601690326395205
hand_U,-0.13648770650541825,0.872417045247917
level_olympics,-0.13043995812549777,0.8777091906717635
log_rank,-0.12483836933603967,0.8826395526729067
prior_events_365d,0.1239246947473155,1.1319306274676497
minutes_28d,0.1237385614616748,1.1317199571078334
days_since_last,-0.11487166995256269,0.8914805403064536
tour_WTA,0.10325304677612626,1.108771944746264
surface_switch,-0.10322258839155975,0.901926192836056
age,0.10131320057176678,1.1066231825057025
prev_match_minutes,0.09708378154591078,1.1019526930537689
match_in_event,-0.09403669747637454,0.910249357773539
is_wildcard,-0.08993678827606069,0.913988958262957
hand_R,0.08950887080768925,1.093637034713138
acwr,-0.07699080613902652,0.9258983661482177
surface_Hard,0.059627075250111135,1.0614406352439663
years_on_tour,-0.04939668135249035,0.9518034921060077
matches_90d,-0.046901306440465494,0.9541815645185046
surface_Grass,0.03211987082885641,1.0326412814527146
is_qualifier,-0.027361498391388763,0.973009436593575
height,0.022302351403235023,1.0225529080427391
matches_28d,-0.015183930854387044,0.9849307637847668
age_c_sq,0.009338999957292999,1.0093827444880723
