_load_decile,matches_28d,rate,n
0,0.5255593184181755,0.01557291805551852,37501
1,2.0,0.01766948758486004,21506
2,3.0,0.018961253091508656,21834
3,4.0,0.020040180813661476,19910
4,5.0,0.019645789350222848,17052
5,6.0,0.019331016507384884,13812
6,7.424167626570128,0.01897866271734957,18231
7,10.492964752700399,0.021034678794769755,14072
